(AO)Percentage SLAs Met,Ageing,Average Resolution Effort - Incidents,Average Resolution Effort - Problems,Backlog Processing Efficiency - Incidents,Backlog Processing Efficiency - Problems,Delivered Defects,clusters_second_pass,warning_second_pass
100,0,32.6,58.55,0.85,0.79,0,0,
100,39,0.31,20,1,-2,0,0,
100,8,4.07,40.27,1.05,1.1,0,0,
100,1,6.04,44.41,1.09,1.06,0,0,
100,0,6.63,42.5,1,1,0,0,
100,0,1,1,1,1,0,0,
100,0,1,1,1,1,0,0,
100,0,0.12,1,1,1,1,0,
100,0,39.88,59.36,0.61,0.69,0,0,
100,0,1,1,1,1,0,0,
100,0,1.87,30,1.19,1,0,0,
100,0,0.33,1,1,1,0,0,
100,0,0.33,1,1,1,0,0,
100,0,2.2,1,1,1,0,0,
100,0,5.05,5.05,1,1,0,0,
100,1,5.17,41.86,1.17,1,0,0,
100,0,2.68,1,1,1,0,0,
54.22,4,0.66,0.65,-1.09,-1.12,33,9,Negative values entered
100,1,5.03,392.25,1.12,-4,0,2,"ARE-P value is higher compared to normal data. BPE-I&P seem to be within range, Delivered Defects are on lower side. Could indicate that majority of effort is being spent in resolving problems. Backlog for problem tickets is on the lower side"
100,0,2.89,8,0.93,1,0,0,
100,0,2.32,1,1,1,0,0,
100,0,4,129,1,1,0,0,
100,0,3.83,129,1,1,0,0,
100,0,1,1,1,1,0,0,
100,0,2.78,2.78,1,1,0,0,
100,0,4.78,15.2,1,1,0,0,
100,0,0.12,1,1,1,1,0,
100,0,0.12,1,1,1,1,0,
100,0,0.36,3.2,1.07,1.67,0,0,
100,0,0.41,4.25,1.06,2,0,0,
184.62,1,225.35,48.52,-0.6,-2.29,7,5,"%SLAs met is more than 100%, please re-check"
100,0,1,1,1,1,0,0,
100,0,0.33,1,1,1,0,0,
100,0,0.33,1,1,1,0,0,
100,5,0.44,15,1,0.67,0,0,
99.12,98.43,198.18,11,1.24,1,0,0,
100,98.16,81.13,108.58,3.73,1,0,7,"Looks like %SLAs met and Ageing are not in line, for 100% SLAs met, Ageing values should be 0"
100,0,2,16,1,1,0,0,
100,0,2,10,1,1,0,0,
100,0,2.11,3,0.97,1,0,0,
100,0,2.11,3,0.95,1,0,0,
100,0,7.36,7.36,1,1,5,0,
100,0,0.01,0.1,0.89,1,0,0,
100,0,0.01,1,0.97,1,0,0,
100,0,2.64,15.53,1.08,1,0,0,
100,99.01,220.25,11,4.77,1,0,7,"Looks like %SLAs met and Ageing are not in line, for 100% SLAs met, Ageing values should be 0"
62.5,22,0.67,2.26,-3.09,0.85,23,0,
100,0,2.47,16.18,1.08,1,0,0,
100,0,2.92,16.5,1.08,1,0,0,
100,0,2.97,1.42,1,1,0,0,
100,0,2.21,0,1,1,0,0,
100,15,0.22,15,1,2,0,0,
100,39,0.24,10,1,3,0,0,
48.39,35,6.64,0.95,1.03,-0.11,33,0,
100,0,4.13,1,1,1,0,0,
100,0,4.23,1,1,1,0,0,
100,0,1,1,1,1,0,0,
99.77,21,6.5,28.47,1.2,-0.34,0,0,
100,5,5.23,39.64,1.01,1.06,0,0,
100,0,1.8,1,1,1,0,0,
100,0,1.83,10.67,1,1,0,0,
100,0,0.22,40.63,1.06,5.33,0,0,
100,0,0.29,97.9,1.1,2.33,0,0,
100,0,2.11,4,0.98,1,0,0,
100,0,0,0,1,5.67,0,0,
100,0,4.79,14.88,1.03,1,0,0,
100,0,0.12,1,1,1,1,0,
100,0,7.5,1.6,0.96,0.91,0,0,
98.11,0,0,0,0.7,0.33,0,0,
100,12,5.76,11.73,1.13,1.1,0,0,
100,0,7.95,1.64,0.92,1.1,0,0,
100,0,0.68,7.7,1,1,0,0,
100,0,6.29,24,1,1,0,0,
100,0,7.92,8,0.85,1,0,0,
100,0,6.19,25.4,1.09,1,0,0,
93.02,0,16.52,5.63,1.92,1.31,0,0,
100,13,2.99,95.43,1.06,-1.75,0,0,
100,0,9.61,3.15,1,1.02,0,0,
100,0,4.43,13.83,1.05,1,0,0,
100,0,2.92,48,1,2,0,0,
100,0,4.25,4.25,1,1,0,0,
100,0,6.29,24,1.1,1,0,0,
100,0,5.63,24,1.05,1,0,0,
100,0,6.1,24,1.04,1,0,0,
100,0,4.04,0.17,1,1,0,0,
100,0,1.55,1.55,1,1,0,0,
100,0,4.99,14.88,0.94,1,0,0,
100,0,0.4,9.71,1.02,2.33,0,0,
100,0,0,2.99,1,1,0,0,
100,0,4.45,14.33,1.01,1,0,0,
100,0,6.36,8,1.37,1,0,0,
100,0,17.43,60.8,1,1,0,0,
100,0,2.2,1.42,1,1,0,0,
100,39,0.27,20,1,1,0,0,
100,98.1,159.08,2.67,1.66,1,0,7,"Looks like %SLAs met and Ageing are not in line, for 100% SLAs met, Ageing values should be 0"
100,10,3.97,40.6,1.1,1,0,0,
100,31,4.23,39.89,1.05,0.9,0,0,
100,31,3.47,40.22,1.11,1,0,0,
100,0,2.65,8,1,1,0,0,
100,0,3.67,129,1,1,0,0,
100,0,1,1,1,1,0,0,
100,0,1,1,1,1,0,0,
100,0,2.71,2.71,1,1,0,0,
100,0,4.91,19.38,0.93,0.89,0,0,
100,0,2.07,11,0.88,1,0,0,
100,0,13.59,89.17,0.98,0.84,0,0,
100,2,1.29,10,1,1,3,0,
100,38,0.02,6,0.89,1,5,0,
100,0,0.5,200,1.4,1,0,2,"ARE-P value is higher compared to normal data. BPE-I&P seem to be within range, Delivered Defects are on lower side. Could indicate that majority of effort is being spent in resolving problems. Backlog for problem tickets is on the lower side"
100,0,0.51,180,1.06,1,0,2,"ARE-P value is higher compared to normal data. BPE-I&P seem to be within range, Delivered Defects are on lower side. Could indicate that majority of effort is being spent in resolving problems. Backlog for problem tickets is on the lower side"
100,0,9.64,4,1,1,0,0,
100,0,19.23,32.2,1,0.83,0,0,
100,0,5.58,24,1.04,1,0,0,
100,0,2.78,2.78,1,1,0,0,
100,0,0.12,1,1,1,1,0,
100,0,0.33,2.94,1.03,1.5,0,0,
100,0,4.43,14.25,1.1,1,0,0,
100,0,7.24,8,1.2,1,0,0,
100,1,2,1,1,1,1,0,
100,0,3.19,34,1,1,0,0,
100,1,0.02,6,0.96,1,5,0,
100,5,0.02,6,0.92,1,5,0,
100,0,0,0,0.83,0.08,0,0,
100,0,0,0,0.89,0.63,0,0,
100,0,5.96,19,0.96,1,0,0,
100,0,7.61,1.64,0.92,0.92,0,0,
100,0,3.75,12.5,0.94,1,0,0,
100,1,1,1,1,1,1,0,
100,0,1,1,1,1,1,0,
100,0,1.36,1.43,1,1,0,0,
100,0,1,1,1,1,0,0,
100,0,0.33,1,1,1,0,0,
100,0,0.33,1,1,1.04,0,0,
100,0,4.79,14.88,1.03,1,0,0,
100,0,5.02,17.26,0.93,1,0,0,
100,0,2.94,27.5,1,2,0,0,
100,6,6.6,16.5,1.26,1.45,734,3,Delivered Defects values entered look unusually higher than normal (atleast 100 times higher). Maybe inflow of incidents tickets has increased
100,2,1.13,10,1,1,3,0,
100,0,0.5,120,1,1,0,0,
100,0,0.12,1,1,1,1,0,
100,0,0.45,5,1.02,2.17,0,0,
100,18,5.46,38.34,1.09,0.83,0,0,
100,23,3.66,19.57,1.14,0.78,0,0,
100,0,5.07,26.17,0.93,0.95,0,0,
100,0,0.63,5.58,1.05,3,0,0,
100,0,4.4,15.38,0.99,1,0,0,
100,0,18.75,8,0.5,0.11,0,0,
100,0,6.15,23.5,1.06,1,0,0,
100,12,8.64,10.48,1.11,-0.91,0,0,
100,0,5.57,12,1.17,1,0,0,
100,0,0,0,0.84,0.67,0,0,
100,0,9.51,10,1.03,0.67,0,0,
100,0,2.5,8.95,0.97,19,0,0,
100,0,8.69,8,1.02,1,0,0,
100,0,6.36,8,1.36,1,0,0,
100,0,6.21,21,1.11,1,0,0,
100,0,3.67,12,0.92,1,0,0,
100,0,2.07,6.12,0.92,2.6,0,0,
100,1,1,1,1,1,1,0,
100,0,1,1,1,1,1,0,
100,0,1,1.11,1,1,0,0,
100,0,0.01,1,1,1,0,0,
100,0,5.71,1,1,1,7,0,
100,0,1.74,2.03,1,1,0,0,
100,0,5.71,1,1,1,0,0,
100,0,1.74,2.03,1,1,0,0,
100,0,2.18,4,1.03,1,0,0,
100,0,2,5.5,0.98,1,0,0,
100,0,16.77,13.45,1.3,1.09,0,0,
100,0,8.23,8.66,0.95,0.98,99,0,
99.12,0,44.34,1,1.02,1,0,0,
100,0,2.5,1.67,1,3,0,0,
100,0,27.75,75.25,4,1,0,0,
100,24,4.56,119.75,0.99,2,0,0,
100,7,6.54,109.9,1.15,1.14,683,3,Delivered Defects values entered look unusually higher than normal (atleast 100 times higher). Maybe inflow of incidents tickets has increased
100,2,1.13,10,1,1,3,0,
100,5,0.02,6,1.02,1,5,0,
100,25,5.55,140,0.98,-1,0,0,
100,0,7.84,24,1.27,-0.33,1,0,
100,0,4.46,24,1.04,-1,1,0,
100,0,10.01,4,1,1,0,0,
100,0,12.63,28,1,1,0,0,
100,0,5.45,11.2,1,1,0,0,
100,0,13.3,25.11,1,1,0,0,
100,0,0,0,0.89,0.63,0,0,
100,0,6.82,6,1,1,0,0,
100,0,0.01,0.1,0.99,1,0,0,
100,0,0.63,0.88,1,1,0,0,
100,0,1.74,2.03,1,1,0,0,
100,0,2.34,5.98,1,1.02,0,0,
100,0,0.44,0.83,1,0.82,0,0,
100,0,4.41,14.89,1.02,1,0,0,
100,0,3.32,5,1.05,1,0,0,
100,0,3.85,26,1.63,1,0,0,
100,59,5.9,1.67,0.91,1,0,7,"Looks like %SLAs met and Ageing are not in line, for 100% SLAs met, Ageing values should be 0"
100,1,1,10,1,1,1,0,
100,0,1,1,1,1,1,0,
100,0,0.67,1,1.5,1,1,0,
100,0,1,1.11,1,1,0,0,
100,0,1,1.11,1,1,0,0,
100,0,19.23,10.68,0.91,0.97,99,0,
100,0,10,10,1,1,0,0,
100,0,10,10,1,1,0,0,
99.12,0,42.17,1,1.02,1,0,0,
100,0,13,13.5,1,1,0,0,
100,0,1.9,1.67,2,3,0,0,
96.12,0,16.97,191.06,1.09,1.53,5,2,"ARE-P value is higher compared to normal data. BPE-I&P seem to be within range, Delivered Defects are on lower side. Could indicate that majority of effort is being spent in resolving problems. Backlog for problem tickets is on the lower side"
99.17,0,15.98,145.21,0.84,1.17,1,0,
100,2,1.29,10,1,1,3,0,
100,2,1.29,10,1,1,2,0,
100,0,0.58,350,7.5,1,0,2,"ARE-P value is higher compared to normal data. BPE-I&P seem to be within range, Delivered Defects are on lower side. Could indicate that majority of effort is being spent in resolving problems. Backlog for problem tickets is on the lower side"
100,0,0.4,160,1.19,2,0,0,
100,0,5.21,32,1.09,0.33,2,0,
100,18,4.76,35.38,1.07,0.57,0,0,
100,0,5.21,21.72,0.97,0.96,0,0,
100,0,6.08,24,0.95,1,0,0,
100,0,0.83,2.06,1,0.99,0,0,
100,0,6.21,21,1.07,1,0,0,
100,0,1.32,6.25,0.94,1,0,0,
100,0,1.75,6.25,0.94,1,0,0,
100,0,1.31,9.5,0.92,0.83,0,0,
100,0,2.1,8.63,0.89,0.8,0,0,
100,0,0.67,1,1.5,1,1,0,
100,0,2.25,2.25,1,1,0,0,
100,0,1.29,1.29,0.97,0.97,0,0,
100,0,0.93,0.93,0.97,0.97,0,0,
100,0,2.55,2.55,1,1,0,0,
100,0,1.1,1.1,0.97,0.97,0,0,
100,0,10,10,1,1,0,0,
100,0,10,10,1,1,0,0,
100,1,1,1,1,1,1,0,
100,0,0.67,1,1.5,1,1,0,
100,0,0.67,1,1.5,1,1,0,
100,0,2.44,50,1,1,0,0,
100,0,15.76,88.08,1.04,1.1,0,0,
100,0,34.38,21.67,0.7,0.5,0,0,
100,0,0.51,0.32,1,1,0,0,
100,0,7.67,8.49,1,1,0,0,
100,0,0.5,9.46,1,1,0,0,
99.12,0,23.39,1,1.01,1,0,0,
100,0,11.3,33,1,1,0,0,
100,0,2.5,1.67,1,3,0,0,
100,0,2,2,1,1,1,0,
100,5,12.1,41.6,0.79,0.87,723,3,Delivered Defects values entered look unusually higher than normal (atleast 100 times higher). Maybe inflow of incidents tickets has increased
100,1,0.02,6,1.02,1,5,0,
100,0,0.02,5.33,0.87,1,0,0,
100,0,0.32,350,0.86,1,0,2,"ARE-P value is higher compared to normal data. BPE-I&P seem to be within range, Delivered Defects are on lower side. Could indicate that majority of effort is being spent in resolving problems. Backlog for problem tickets is on the lower side"
100,0,11.78,29.78,1,0.9,0,0,
100,0,11.73,24.76,1,1,0,0,
100,0,0,0,0.89,0.63,0,0,
100,0,0,0,0.89,0.63,0,0,
100,2,6.49,10,1.11,1,0,0,
100,0,2.5,12.5,0.93,1.33,0,0,
100,0,8.13,4.36,1,1,0,0,
100,0,7,25.71,1,2.8,2,0,
100,0,2.18,0,1.03,1,0,0,
85.71,0,0,0.45,1,1.27,0,0,
100,0,4.42,14.56,1.07,1,0,0,
100,0,6.36,8,1.36,1,0,0,
100,0,6.17,23.5,1.03,1,0,0,
100,0,1.58,6,0.96,1,0,0,
100,0,9.93,4,1,1,0,0,
100,0,12,45,0.91,1,0,0,
100,1,1,10,1,1,1,0,
100,0,1,1,1,1,1,0,
100,1,1,1,1,1,1,0,
100,0,1,1.11,1,1,0,0,
100,0,1.5,1.5,1,1,0,0,
100,0,7.38,8,1.04,1.25,0,0,
100,4,4.8,8.5,1.14,0.8,0,0,
100,0,0.41,1,0.98,1,0,0,
100,0,3.25,3.25,1,1,0,0,
100,0,4.39,4.39,0.92,0.92,0,0,
100,0,1,1.09,1,1,1,0,
100,0,2.03,1.09,1,1,1,0,
100,0,0.01,1,1,1,0,0,
100,0,9.38,5.94,1,1,0,0,
100,0,7.22,5.36,1,1,0,0,
100,0,7.62,4.82,1,1,0,0,
100,0,0.01,0.1,1.01,1,0,0,
100,0,0.71,1.25,1,1.33,0,0,
100,0,1,1.25,1,1.33,0,0,
100,0,3.25,10,1.16,1.75,0,0,
100,0,4.11,18.71,1.15,1.4,0,0,
100,0,2.17,2.17,1,1,0,0,
100,0,2.77,2.77,1,1,0,0,
100,0,1.02,1.02,0.95,0.95,0,0,
100,0,1,1,1,1,1,0,
100,0,1,1,1,1,1,0,
100,0,3.02,42,1,1,0,0,
100,0,2.77,42,1,1,0,0,
95.83,0,16.42,144.89,1.33,0.48,5,0,
100,7,7.43,24.57,1.19,1.15,747,3,Delivered Defects values entered look unusually higher than normal (atleast 100 times higher). Maybe inflow of incidents tickets has increased
100,2,1.29,10,1,1,2,0,
100,0,13.29,24.58,1,1,0,0,
100,0,0,8,1,1,0,0,
100,0,5.71,1,1,1,7,0,
100,0,1.74,2.03,1,1,0,0,
100,0,6.35,5.79,1,1,0,0,
100,0,3.6,46.36,1,0.85,3,0,
100,0,2.18,4,1.03,1,0,0,
100,0,13.73,10.51,0.89,0.89,99,0,
100,0,10,10,1,1,0,0,
100,0,5,8.79,1,1,0,0,
100,0,2.5,1.67,1,3,0,0,
100,0,1.74,2.03,1,1,0,0,
100,0,5.71,1,1,1,0,0,
100,0,2.33,7.52,1,1,0,0,
100,0,3,3,1,1,1,0,
100,0,0.52,0.3,1,1,0,0,
100,0,6.64,9.5,0.99,1,0,0,
100,0,36.9,310,0.88,1,0,2,"ARE-P value is higher compared to normal data. BPE-I&P seem to be within range, Delivered Defects are on lower side. Could indicate that majority of effort is being spent in resolving problems. Backlog for problem tickets is on the lower side"
100,0,9.47,34.36,0.93,2.29,0,0,
100,0,4.33,82.88,1.04,0.8,0,0,
100,0,3.21,24,1,1,0,0,
96,0,25.03,161.28,1.09,0.96,5,0,
100,0,7.25,19.71,1,0.88,0,0,
100,0,7.1,23.93,1,1,0,0,
100,0,3.06,1.09,0.88,1,1,0,
96.88,0,32.35,7.43,0.74,0.5,0,0,
100,0,6.73,9.5,0.69,1,0,0,
100,0,0.23,6.67,1,1,0,0,
100,0,1,1,1,1,0,0,
100,0,2.5,8.57,0.98,21,0,0,
100,0,0.94,0.57,40,60,0,0,
100,0,3.6,46.36,1,0.85,3,0,
100,0,2.18,4,1.03,1,0,0,
100,0,13,13.5,1,1,0,0,
100,0,3.43,1.67,0.88,3,0,0,
100,0,10,10,1,1,0,0,
99.12,0,26.91,1,1.02,1,0,0,
100,0,24.5,150.5,1.13,-0.4,0,0,
100,0,38.86,79,1.27,1,0,0,
92,34,3.84,136,1.05,1.67,0,0,
100,23,5.72,84,1.01,-7,1,0,
100,34,3.79,17.6,0.96,5,1,0,
100,0,3.61,1,1.51,-1,0,0,
100,0,3.88,25.17,0.95,0.75,0,0,
100,0,4.32,32,1.13,0.5,1,0,
100,10,2.72,200,1.03,1,2,2,"ARE-P value is higher compared to normal data. BPE-I&P seem to be within range, Delivered Defects are on lower side. Could indicate that majority of effort is being spent in resolving problems. Backlog for problem tickets is on the lower side"
100,0,0.01,0.1,1.03,1,0,0,
100,0,0.01,1,0.98,1,0,0,
100,0,4.07,40,1,1,0,0,
100,0,3.72,14,1.1,1.33,2,0,
100,0,4.67,10.67,1.09,-1.5,1,0,
100,0,2.79,5.5,1.05,2,0,0,
100,0,1.67,1.5,1,1,0,0,
100,0,2,11.6,1.22,2.78,0,0,
100,0,3.24,3.24,1,1,0,0,
100,0,2.08,2.08,1,1,0,0,
100,0,1,1.09,1,1,1,0,
100,0,1.92,12,1,0.75,0,0,
90.91,0,37.57,12,0.78,0.71,0,0,
95,0,44.44,11.2,0.9,1,0,0,
100,0,0.51,0.32,1,1,0,0,
100,0,5.94,9.5,0.76,1,0,0,
100,0,6.82,9.5,0.84,1,0,0,
100,0,0,8,1,1,0,0,
100,0,0.71,1.25,1,1.14,0,0,
100,0,3,3,1,1,0,0,
100,0,5,6,1,1,0,0,
100,0,4,7,1,1,0,0,
100,0,5.65,33.17,0.96,1.02,0,0,
100,0,2,4,1,1,0,0,
100,0,1.67,4,1,1,0,0,
100,0,86,40,8,1,0,0,
98.75,0,10.98,26.2,1.01,0.85,0,0,
100,0,1.02,1.02,0.95,0.95,0,0,
100,0,3.04,3.04,1,1,0,0,
100,0,1,1.09,1,1,1,0,
100,0,39.33,13.5,0.65,0.8,0,0,
100,0,0.01,0.1,1.01,1,0,0,
100,0,1.67,1.25,1,1.33,0,0,
100,0,40,8,1.47,2.13,15,0,
100,25,0.88,50,1.03,1,0,0,
90,0,6.56,1.78,1.17,1.79,0,0,
100,0,26,8,0.81,0.91,88,0,
86.36,0,4.89,13.82,1.24,1.05,0,0,
100,0,95.6,52.5,1,1,0,0,
100,0,4.55,11.7,0.96,1,0,0,
100,0,2,4,1,1,0,0,
100,0,5.14,16.07,1.13,1.36,0,0,
100,0,1.99,1.99,1,1,0,0,
100,0,2.96,2.96,1,1,0,0,
100,0,1.1,1.1,0.97,0.97,0,0,
100,0,0.75,1,1.33,1,0,0,
100,0,1,1,1,1,0,0,
100,0,4.52,66,1.16,8,0,0,
100,22,10.25,15.67,4,15,10,0,
95.65,9,5.63,15.43,1.04,1.17,0,0,
100,0,2.5,2.5,1,1,1,0,
100,0,8.81,70,0.91,1,0,0,
100,0,8.51,143,0.8,1,0,0,
100,0,0.01,0.1,0.99,1,0,0,
100,0,4,4.09,1,1,0,0,
100,0,3.24,3.24,1,1,0,0,
100,0,2.59,2.59,1,1,0,0,
100,0,2.8,1,1.04,1,0,0,
100,0,1.74,2.03,1,1,0,0,
100,0,5.71,1,1,1,7,0,
100,0,5.71,1,1,1,0,0,
100,0,6.51,6.61,1,1,0,0,
100,0,2.18,4,1.03,1,0,0,
100,0,9.47,12.64,0.89,0.94,99,0,
99.12,0,33.16,1,1.02,1,0,0,
99.12,0,48.2,1,1.02,1,0,0,
100,0,10.56,18,1.13,1,0,0,
100,0,12.5,33,1,1,0,0,
100,0,1.9,1.67,1.25,3,0,0,
100,0,1,1,1,1,0,0,
100,0,1,1,1,1,0,0,
100,0,4.47,66,1.16,2,0,0,
100,2,2.5,2,1,1,10,0,
100,0,0.51,0.32,1,1,0,0,
100,0,2.14,5.81,6.13,1,0,0,
100,0,0.97,35,1,1,0,0,
100,0,12.98,75,0.96,1.17,0,0,
100,0,5,5,1,1,0,0,
100,0,0.75,1,1.33,1,0,0,
81.82,0,4.77,13.82,1.26,1.16,0,0,
100,0,4.71,84,1.02,6,0,0,
100,22,10.25,15.67,4,15,10,0,
100,0,40.69,77.5,0.88,1,0,0,
100,0,4.19,19.5,0.91,1,0,0,
100,0,1.27,128.78,1,0.89,0,0,
100,0,7.99,45.11,0.98,0.82,0,0,
100,0,76,50,1,1,0,0,
100,0,12.59,18,1,1,0,0,
100,0,2.21,13.57,1,1,0,0,
100,0,1,1,1.01,1.23,0,0,
100,0,5.35,1,1.34,-1,0,0,
100,0,20.34,310,0.88,1,0,2,"ARE-P value is higher compared to normal data. BPE-I&P seem to be within range, Delivered Defects are on lower side. Could indicate that majority of effort is being spent in resolving problems. Backlog for problem tickets is on the lower side"
100,0,5.51,46.16,1.01,0.67,0,0,
100,0,5,7,1,1,0,0,
100,0,22.81,195,1,1,0,2,"ARE-P value is higher compared to normal data. BPE-I&P seem to be within range, Delivered Defects are on lower side. Could indicate that majority of effort is being spent in resolving problems. Backlog for problem tickets is on the lower side"
100,0,1.07,0.75,1.07,1,0,0,
100,0,1.01,0.65,1.03,1.43,0,0,
100,0,2.01,6,1.24,1,0,0,
100,0,2.04,7.33,1.38,1.5,1,0,
100,0,1,1,1.52,1.54,0,0,
100,0,0,5,1,1,0,0,
100,0,4.85,51.87,0.93,0.98,0,0,
95.4,3,26.35,11.97,1.02,0.98,0,0,
100,0,3,3,1,1,1,0,
100,0,2,2,1,1,1,0,
100,0,4.19,40,1,1,0,0,
100,22,2.72,290,1.01,-0.67,1,2,"ARE-P value is higher compared to normal data. BPE-I&P seem to be within range, Delivered Defects are on lower side. Could indicate that majority of effort is being spent in resolving problems. Backlog for problem tickets is on the lower side"
100,0,0.75,1,1.33,1,0,0,
100,0,0.75,1,1.33,1,0,0,
100,0,39.7,8,0.82,1,45,0,
100,83,0.99,25,0.92,1,0,7,"Looks like %SLAs met and Ageing are not in line, for 100% SLAs met, Ageing values should be 0"
90,0,6.71,1.78,1.21,1.67,0,0,
90,0,6.71,1.78,1.21,1.67,0,0,
90,0,6.83,1.78,1.22,1.67,0,0,
100,0,5.92,6.4,1.04,0.83,0,0,
100,0,3.31,9.44,1.25,2,0,0,
100,0,1.29,1.29,0.97,0.98,0,0,
100,0,2.63,2.63,1,1,0,0,
100,0,4.2,4.2,0.96,0.96,0,0,
100,0,0.93,0.93,0.97,0.97,0,0,
100,0,0.9,32,1,1,0,0,
100,14,2.67,40.63,1,1.14,8,0,
100,0,1.87,2.33,1,1,0,0,
100,0,2.08,4.67,1,1,0,0,
100,0,6.87,15.65,1,1,0,0,
100,1,9.6,12,1,1,1,0,
100,0,5.18,38.07,1.27,0.8,0,0,
100,0,4,2,1,1,0,0,
100,1,0.3,45,1,0.5,1,0,
100,0,5.76,39.76,0.85,0.95,0,0,
100,0,1,1.09,1,1,1,0,
94.87,0,21.5,6,0.86,1,0,0,
100,0,0.57,0.35,1,1,0,0,
100,0,6.65,9.5,0.91,1,0,0,
100,0,12.98,12.98,0.95,0.95,0,0,
100,0,27.92,8,0.86,1.25,80,0,
81.82,0,4.77,13.82,1.26,1.16,0,0,
100,0,5.64,18,1.01,1.18,0,0,
100,0,4.89,4.57,1.16,1,0,0,
100,0,18.91,7.5,0.85,2,0,0,
100,0,2.27,1.24,1,0.97,0,0,
100,14,2.67,40.63,1,1.14,8,0,
